Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
36,4,0,0,0,0
36,5,49824,0,0,100
36,6,8416,0,0,82.7586
36,7,0,0,0,0
36,8,0,0,0,0
37,0,0,0,0,0
37,1,0,0,0,0
37,2,16608,0,0,82.8571
37,3,0,0,0,0
37,4,49824,0,0,100
37,5,0,0,0,0
37,6,8416,0,0,83.3333
37,7,49824,0,0,100
37,8,16608,0,0,96.1538
38,0,49824,0,0,70.5882
38,1,49824,0,0,75
38,2,16608,0,0,83.3333
38,3,0,0,0,0
38,4,0,0,0,0
38,5,0,0,0,0
38,6,0,0,0,0
38,7,0,0,0,0
38,8,16608,0,0,96.2963
39,0,8416,8416,0.0481896,69.2308
39,1,0,0,0,0
39,2,16608,16608,0.021147,81.0811
39,3,49824,0,0,100
39,4,0,0,0,0
39,5,0,0,0,0
39,6,8416,0,0,83.871
39,7,0,0,0,0
39,8,16608,0,0,96.4286
40,0,0,0,0,0
40,1,0,0,0,0
40,2,33216,16608,0.024168,79.4872
40,3,0,0,0,0
40,4,49824,0,0,100
40,5,49824,0,0,100
40,6,8416,0,0,84.375
40,7,0,0,0,0
40,8,16608,16608,0.006042,93.1034
41,0,58240,8416,0.0512001,69.6429
41,1,16608,16608,0.0221596,72.973
41,2,16608,0,0,80
41,3,0,0,0,0
41,4,0,0,0,0
41,5,0,0,0,0
41,6,8416,8416,0.0180632,81.8182
41,7,49824,0,0,100
41,8,16608,0,0,93.3333
42,0,0,0,0,0
42,1,49824,0,0,75
42,2,16608,0,0,80.4878
42,3,0,0,0,0
42,4,0,0,0,0
42,5,0,0,0,0
42,6,8416,0,0,82.3529
42,7,0,0,0,0
42,8,0,0,0,0
43,0,0,0,0,0
43,1,16608,16608,0.0251806,73.1707
43,2,16608,0,0,80.9524
43,3,49824,0,0,100
43,4,49824,0,0,100
43,5,0,0,0,0
43,6,8416,0,0,82.8571
43,7,0,0,0,0
43,8,16608,0,0,93.5484
44,0,49824,0,0,71.1864
44,1,16608,16608,0.026189,71.4286
44,2,16608,0,0,81.3953
44,3,0,0,0,0
44,4,0,0,0,0
44,5,49824,0,0,100
44,6,8416,0,0,83.3333
44,7,0,0,0,0
44,8,16608,0,0,93.75
45,0,0,0,0,0
45,1,16608,16608,0.02921,69.7674
45,2,0,0,0,0
45,3,0,0,0,0
45,4,0,0,0,0
45,5,0,0,0,0
45,6,8416,0,0,83.7838
45,7,49824,0,0,100
45,8,16608,0,0,93.9394
46,0,0,0,0,0
46,1,49824,0,0,71.7391
46,2,16608,0,0,81.8182
46,3,0,0,0,0
46,4,49824,0,0,100
46,5,0,0,0,0
46,6,8416,0,0,84.2105
46,7,0,0,0,0
46,8,16608,0,0,94.1176
47,0,74848,25024,0.0286158,70.3125
47,1,0,0,0,0
47,2,16608,0,0,82.2222
47,3,49824,0,0,100
47,4,0,0,0,0
47,5,0,0,0,0
47,6,8416,0,0,84.6154
47,7,0,0,0,0
47,8,16608,0,0,94.2857
48,0,0,0,0,0
48,1,0,0,0,0
48,2,33216,16608,0.027189,80.8511
48,3,0,0,0,0
48,4,0,0,0,0
48,5,49824,0,0,100
48,6,8416,0,0,85
48,7,0,0,0,0
48,8,0,0,0,0
49,0,0,0,0,0
49,1,33216,33216,0.017626,68.75
49,2,16608,0,0,81.25
49,3,0,0,0,0
49,4,49824,0,0,100
49,5,0,0,0,0
49,6,0,0,0,0
49,7,49824,0,0,100
49,8,16608,0,0,94.4444
50,0,49824,0,0,71.6418
50,1,66432,16608,0.0362604,69.2308
50,2,16608,0,0,81.6327
50,3,0,0,0,0
50,4,0,0,0,0
50,5,0,0,0,0
50,6,8416,0,0,85.3659
50,7,0,0,0,0
50,8,16608,0,0,94.5946
51,0,0,0,0,0
51,1,0,0,0,0
51,2,0,0,0,0
51,3,49824,0,0,100
51,4,0,0,0,0
51,5,0,0,0,0
51,6,8416,0,0,85.7143
51,7,0,0,0,0
51,8,16608,0,0,94.7368
52,0,0,0,0,0
52,1,16608,16608,0.0392814,67.9245
52,2,16608,0,0,82
52,3,0,0,0,0
52,4,49824,0,0,100
52,5,49824,0,0,100
52,6,8416,0,0,86.0465
52,7,0,0,0,0
52,8,16608,0,0,94.8718
53,0,49824,0,0,72.8571
53,1,0,0,0,0
53,2,16608,0,0,82.3529
53,3,0,0,0,0
53,4,0,0,0,0
53,5,0,0,0,0
53,6,8416,0,0,86.3636
53,7,49824,0,0,100
53,8,16608,0,0,95
54,0,0,0,0,0
54,1,49824,0,0,69.6429
54,2,16608,0,0,82.6923
54,3,0,0,0,0
54,4,0,0,0,0
54,5,0,0,0,0
54,6,8416,0,0,86.6667
54,7,0,0,0,0
54,8,0,0,0,0
55,0,16608,16608,0.0602526,71.831
55,1,16608,16608,0.0423024,68.4211
55,2,16608,0,0,83.0189
55,3,49824,0,0,100
55,4,49824,0,0,100
55,5,0,0,0,0
55,6,8416,0,0,86.9565
55,7,0,0,0,0
55,8,16608,0,0,95.122
56,0,49824,0,0,72.973
56,1,0,0,0,0
56,2,33216,16608,0.03021,81.8182
56,3,0,0,0,0
56,4,0,0,0,0
56,5,49824,0,0,100
56,6,8416,0,0,87.234
56,7,0,0,0,0
56,8,16608,0,0,95.2381
57,0,0,0,0,0
57,1,0,0,0,0
57,2,0,0,0,0
57,3,0,0,0,0
57,4,0,0,0,0
57,5,0,0,0,0
57,6,8416,0,0,87.5
57,7,49824,0,0,100
57,8,16608,0,0,95.3488
58,0,0,0,0,0
58,1,66432,16608,0.0453234,68.8525
58,2,33216,16608,0.033231,80.7018
58,3,0,0,0,0
58,4,49824,0,0,100
58,5,0,0,0,0
58,6,8416,0,0,87.7551
58,7,0,0,0,0
58,8,16608,0,0,95.4545
59,0,66432,16608,0.0632736,73.0769
59,1,16608,16608,0.0463318,67.7419
59,2,16608,0,0,81.0345
59,3,49824,0,0,100
59,4,0,0,0,0
59,5,0,0,0,0
59,6,8416,0,0,88
59,7,0,0,0,0
59,8,16608,0,0,95.5556
60,0,8416,8416,0.0662842,72.1519
60,1,0,0,0,0
60,2,16608,0,0,81.3559
60,3,0,0,0,0
60,4,0,0,0,0
60,5,49824,0,0,100
60,6,0,0,0,0
60,7,0,0,0,0
60,8,0,0,0,0
61,0,0,0,0,0
61,1,33216,33216,0.0261869,65.625
61,2,16608,0,0,81.6667
61,3,0,0,0,0
61,4,49824,0,0,100
61,5,0,0,0,0
61,6,8416,0,0,88.2353
61,7,49824,0,0,100
61,8,16608,0,0,95.6522
62,0,49824,0,0,73.1707
62,1,49824,0,0,67.1642
62,2,16608,0,0,81.9672
62,3,0,0,0,0
62,4,0,0,0,0
62,5,0,0,0,0
62,6,8416,0,0,88.4615
62,7,0,0,0,0
62,8,16608,0,0,95.7447
63,0,0,0,0,0
63,1,0,0,0,0
63,2,0,0,0,0
63,3,49824,0,0,100
63,4,0,0,0,0
63,5,0,0,0,0
63,6,8416,0,0,88.6792
63,7,0,0,0,0
63,8,16608,0,0,95.8333
64,0,0,0,0,0
64,1,0,0,0,0
64,2,33216,16608,0.036252,80.9524
64,3,0,0,0,0
64,4,49824,0,0,100
64,5,49824,0,0,100
64,6,8416,0,0,88.8889
64,7,0,0,0,0
64,8,16608,0,0,95.9184
65,0,58240,8416,0.0692947,73.2558
65,1,16608,16608,0.0553948,66.1765
65,2,16608,0,0,81.25
65,3,0,0,0,0
65,4,0,0,0,0
65,5,0,0,0,0
65,6,8416,0,0,89.0909
65,7,49824,0,0,100
65,8,16608,0,0,96
66,0,8416,8416,0.0723053,72.4138
66,1,49824,0,0,67.6056
